id;account_number;account_name;balance;account_type
1;monitor;Savings Account;4944;SAVINGS
2;Fantastic;Credit Card Account;79072;SAVINGS
3;Shoes;Investment Account;22265;CHECKING
4;Loan;Savings Account;56928;SAVINGS
5;Steel blockchains;Home Loan Account;21844;CHECKING
6;facilitate;Credit Card Account;4762;CHECKING
7;Computers Ethiopian monitor;Home Loan Account;68885;CHECKING
8;Spurs Tuna Market;Personal Loan Account;25063;CHECKING
9;Montana withdrawal HTTP;Checking Account;20551;CHECKING
10;transform indexing Optional;Home Loan Account;94980;CHECKING
