id;date_of_transaction;type_of_transaction;transaction_amount;to_account_number;from_account_number
1;2022-04-26T05:01:20;CREDIT;65673;Fantastic yellow 24/365;Developer Dominican protocol
2;2022-04-26T06:17:36;DEBIT;29487;Executive 1080p;Liaison
3;2022-04-26T06:42:18;TRANSFER;14504;Washington;embrace
4;2022-04-26T03:24:09;CREDIT;43319;Open-source Forward knowledge;Hat Generic
5;2022-04-26T09:21:49;CREDIT;76510;National;Mountains Islands
6;2022-04-26T04:45:29;CREDIT;9705;copying Borders proactive;Alabama magenta
7;2022-04-26T13:34:36;DEBIT;74084;content JBOD;web-readiness virtual
8;2022-04-26T14:44:08;DEBIT;53297;invoice;payment
9;2022-04-26T14:40:24;TRANSFER;91305;deposit grid-enabled;multi-byte Alaska
10;2022-04-26T13:32:29;CREDIT;28628;Hat up;seize Rubber
